Pos,Freq (Hz),NoBond PP,Bond PP,Period,,,,,,,,,
90,15,33,39,2.699,,,,,,,,,
90,20,69,64,2.018,,,,,,,,,
90,25,83,79,1.618,,,,,,,,,
90,30,85,80,1.333,,,,,,,,,
90,35,93,123,1.142,,,,,,,,,
90,40,115,129,0.993,,,,,,,,,
,,,,,,,,,,,,,
110,15,39,45,2.686,,,,,,,,,
110,20,78,78,2.008,,,,,,,,,
110,25,96,85,1.597,,,,,,,,,
110,30,111,100,1.34,,,,,,,,,
110,35,110,132,1.149,,,,,,,,,
110,40,148,168,1.003,,,,,,,,,
,,,,,,,,,,,,,
130,15,43,51,2.693,,,,,,,,,
130,20,87,89,2.007,,,,,,,,,
130,25,111,108,1.617,,,,,,,,,
130,30,127,111,1.332,,,,,,,,,
130,35,111,155,1.147,,,,,,,,,
130,40,156,195,1.006,,,,,,,,,
,,,,,,,,,,,,,
150,15,49,60,2.682,,,,,,,,,
150,20,91,95,2.019,,,,,,,,,
150,25,119,100,1.596,,,,,,,,,
150,30,144,130,1.344,,,,,,,,,
150,35,135,172,1.147,,,,,,,,,
150,40,191,192,1.008,,,,,,,,,
,,,,,,,,,,,,,
170,15,58,67,2.694,,,,,,,,,
170,20,109,105,2.003,,,,,,,,,
170,25,145,129,1.617,cuadradaish,,,,,,,,
170,30,157,152,1.341,,,,,,,,,
170,35,157,202,1.144,picuda,,,,,,,,
170,40,-,-,-,"no usar, agua extrema",,,,,,,,
,,,,,,,,,,,,,
190,15,63,73,2.694,,,,,,,,,
190,20,122,119,2.026,,,,,,,,,
190,25,169,124,1.622,cuadradaish,,,,,,,,
190,30,176,157,1.353,"bien feita, ni la mamá la quiere",,,,,,,,
190,35,162,194,1.149,"no usar, agua extrema",,,,,,,,
190,40,-,-,-,,,,,,,,,
,,,,,,,,,,,,,
210,15,75,75,2.721,,,,,,,,,
210,20,130,123,2.046,,,,,,,,,
210,25,,,,"no usar, golpe del brazo cuando la paleta se empieza a devolver del sentido de…",,,,,,,,
210,30,,,,,,,,,,,,
210,35,,,,,,,,,,,,
210,40,,,,,,,,,,,,
,,,,,,,,,,,,,
230,15,76,82,2.715,,,,,,,,,
230,20,,,,"no usar, golpe del brazo cuando la paleta se empieza a devolver del sentido de…",,,,,,,,
230,25,,,,,,,,,,,,
230,30,,,,,,,,,,,,
230,35,,,,,,,,,,,,
230,40,,,,,,,,,,,,
,,,,,,,,,,,,,
250,15,,,,"no usar, golpe del brazo cuando la paleta se empieza a devolver del sentido de…",,,,,,,,Posición más inútil
250,20,,,,,,,,,,,,
250,25,,,,,,,,,,,,
250,30,,,,,,,,,,,,
250,35,,,,,,,,,,,,
250,40,,,,,,,,,,,,
